"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.5,90.0000000000002,70,-19.7434670839241,-1.3077885069671
5.5,90.0000000000002,75,-20.4164813243767,-1.93457588848583
5.5,90.0000000000002,80,-21.0155938016302,-2.60050788484762
5.5,90.0000000000002,85,-21.5209319497497,-3.31584619889882
5.5,90.0000000000002,90,-21.9196715333157,-4.09475551404071
5.5,90.0000000000002,95,-22.206997070953,-4.9564916706476
5.5,90.0000000000002,100,-22.3844593016246,-5.92729947406718
5.5,90.0000000000002,105,-22.4566003202176,-7.04360152756614
5.5,90.0000000000002,110,-22.4277565653344,-8.35772719307595
5.5,90.0000000000002,115,-22.3007915770106,-9.9491052570694
5.5,90.0000000000002,120,-22.0783792196317,-11.9486367154545
5.5,90.0000000000002,125,-21.7660372973263,-14.6004291879688
5.5,90.0000000000002,130,-21.375110780618,-18.458993143811
5.5,90.0000000000002,135,-20.9239302470201,-25.3296685041421
5.5,90.0000000000002,140,-20.4364992796937,-32.8689353236856
5.5,90.0000000000002,145,-19.939484761439,-22.0755876079218
5.5,90.0000000000002,150,-19.458949905962,-17.3419288838194
5.5,90.0000000000002,155,-19.0179320616169,-14.5580981403072
5.5,90.0000000000002,160,-18.6352061921649,-12.7438368782514
5.5,90.0000000000002,165,-18.3250088755885,-11.5510834659649
5.5,90.0000000000002,170,-18.0973083203167,-10.8253733922525
5.5,90.0000000000002,175,-17.9582639988563,-10.4938545648007
5.5,90.0000000000002,180,-17.9106538374191,-10.5278277930316
