"g [mm]","Freq [GHz]","dB(S(1,1)) []"
0.12,5.55,-8.07921853236202
0.12,5.56,-8.94274393184396
0.12,5.57,-9.89261896518391
0.12,5.58,-10.8955533385962
0.12,5.59,-11.8703715517913
0.12,5.6,-12.6659903238831
0.12,5.61,-13.0826680167835
0.12,5.62,-12.9851662587139
0.12,5.63,-12.4214926102443
0.12,5.64,-11.5788086155829
0.12,5.65,-10.6441464223723
0.12,5.66,-9.73609387028734
0.12,5.67,-8.91190736329802
0.12,5.68,-8.19267483228262
0.12,5.69,-7.58183691515355
0.12,5.7,-7.07540748420448
0.12,5.71,-6.66706598119797
0.12,5.72,-6.35061369257708
0.12,5.73,-6.12117278100427
0.12,5.74,-5.97582129835185
0.12,5.75,-5.91400962774846
0.12,5.76,-5.93793951559528
0.12,5.77,-6.05301310275678
0.12,5.78,-6.26842968024304
0.12,5.79,-6.59799965656288
0.12,5.8,-7.06124392889482
0.12,5.81,-7.68482781430166
0.12,5.82,-8.50425539849626
0.12,5.83,-9.56516988489557
0.12,5.84,-10.9210781702548
0.12,5.85,-12.6134656374503
0.12,5.86,-14.5768068074081
0.12,5.87,-16.3129330920895
0.12,5.88,-16.6268211615289
0.12,5.89,-15.1917442281615
0.12,5.9,-13.1833801821865
0.12,5.91,-11.346531864362
0.12,5.92,-9.83461614141035
0.12,5.93,-8.62197972054568
0.12,5.94,-7.65384466078268
0.12,5.95,-6.8803727597633
0.12,5.96,-6.26190087860524
0.12,5.97,-5.76803995673328
0.12,5.98,-5.3758743496573
0.12,5.99,-5.06839227081645
0.12,6,-4.8333347023174
0.12,6.01,-4.66245848470749
0.12,6.02,-4.5512060731788
0.12,6.03,-4.4988340547633
0.12,6.04,-4.50916708514869
0.12,6.05,-4.59236155915874
0.12,6.06,-4.76850797083699
0.12,6.07,-5.07485406062688
0.12,6.08,-5.58046567789752
0.12,6.09,-6.41576224340854
0.12,6.1,-7.8223219546757
