s [mm],Freq [GHz],"dB(S(1,1)) []"
0.12,5.79,-4.144309949
0.12,5.8,-4.32915185
0.12,5.81,-4.565569226
0.12,5.82,-4.861869216
0.12,5.83,-5.228958499
0.12,5.84,-5.681112712
0.12,5.85,-6.237086448
0.12,5.86,-6.921768951
0.12,5.87,-7.768765312
0.12,5.88,-8.824632889
0.12,5.89,-10.15619461
0.12,5.9,-11.86351488
0.12,5.91,-14.10093476
0.12,5.92,-17.08118492
0.12,5.93,-20.68828127
0.12,5.94,-21.88218821
0.12,5.95,-18.7302251
0.12,5.96,-15.45405946
0.12,5.97,-12.98001842
0.12,5.98,-11.12190555
0.12,5.99,-9.695278151
0.12,6,-8.579510414
0.12,6.01,-7.695917749
0.12,6.02,-6.991210441
0.12,6.03,-6.428051936
0.12,6.04,-5.979711186
0.12,6.05,-5.626943872
0.12,6.06,-5.3561447
0.12,6.07,-5.158300895
0.12,6.08,-5.028542174
0.12,6.09,-4.96625679
0.12,6.1,-4.975911693
