"Freq [GHz]","dB(S(1,1)) []"
5,-0.147948660392777
5.02,-0.149613373112336
5.04,-0.151323302201321
5.06,-0.153080063612162
5.08,-0.154885337880211
5.1,-0.156740873338426
5.12,-0.158648489505893
5.14,-0.160610080746762
5.16,-0.162627620114097
5.18,-0.164703163395191
5.2,-0.166838853498141
5.22,-0.169036925005776
5.24,-0.171299709094073
5.26,-0.173629638741012
5.28,-0.176029254218271
5.3,-0.178501209012619
5.32,-0.18104827604502
5.34,-0.183673354374807
5.36,-0.186379476261988
5.38,-0.189169814758442
5.4,-0.192047691765395
5.42,-0.195016586628245
5.44,-0.198080145348326
5.46,-0.201242190355094
5.48,-0.204506731022018
5.5,-0.207877974852481
5.52,-0.211360339465659
5.54,-0.214958465435477
5.56,-0.218677230016184
5.58,-0.222521761873413
5.6,-0.226497456855891
5.62,-0.230609994949868
5.64,-0.234865358427867
5.66,-0.239269851408281
5.68,-0.243830120827766
5.7,-0.248553179031582
5.72,-0.253446428065084
5.74,-0.258517685865148
5.76,-0.263775214472378
5.78,-0.269227750473723
5.8,-0.274884537840983
5.82,-0.280755363429639
5.84,-0.286850595353242
5.86,-0.293181224467969
5.88,-0.299758909338196
5.9,-0.306596024910325
5.92,-0.31370571532741
5.94,-0.321101951246813
5.96,-0.328799592084988
5.98,-0.336814453714934
6,-0.345163382088199
6.02,-0.353864333462991
6.04,-0.362936461806299
6.06,-0.372400214182332
6.08,-0.382277434907404
6.1,-0.3925914794019
6.12,-0.403367338739224
6.14,-0.414631776064763
6.16,-0.426413476132843
6.18,-0.438743209399017
6.2,-0.451654012263741
6.22,-0.46518138527574
6.24,-0.479363511285891
6.26,-0.494241495851939
6.28,-0.509859632412613
6.3,-0.526265695142115
6.32,-0.543511262696875
6.34,-0.561652076562068
6.36,-0.5807484380957
6.38,-0.600865649023089
6.4,-0.622074500643889
6.42,-0.644451817856241
6.44,-0.668081064798969
6.46,-0.693053019963285
6.48,-0.719466529641859
6.5,-0.747429349841249
6.52,-0.777059088262525
6.54,-0.808484259491634
6.56,-0.841845468596873
6.58,-0.877296740376367
6.6,-0.91500701412001
6.62,-0.955161826665603
6.64,-0.997965209867933
6.66,-1.04364183262789
6.68,-1.09243942202224
6.7,-1.14463150357365
6.72,-1.2005205066331
6.74,-1.2604412881838
6.76,-1.32476513661641
6.78,-1.39390432689445
6.8,-1.46831730995023
6.82,-1.54851463267348
6.84,-1.63506570086486
6.86,-1.72860651646345
6.88,-1.82984854323174
6.9,-1.93958888242682
6.92,-2.05872197359019
6.94,-2.1882530768857
6.96,-2.32931384509819
6.98,-2.48318035901249
7,-2.65129408435086
7.02,-2.83528631918203
7.04,-3.03700684792469
7.06,-3.25855771691324
7.08,-3.50233331854935
7.1,-3.77106834699199
7.12,-4.06789571278616
7.14,-4.3964172364606
7.16,-4.76079096495458
7.18,-5.16584036726323
7.2,-5.61719256219939
7.22,-6.12145512375388
7.24,-6.68644360747562
7.26,-7.32147355816086
7.28,-8.03772769912728
7.3,-8.84869045245474
7.32,-9.77057635475018
7.34,-10.8224729852783
7.36,-12.0252919985312
7.38,-13.3967268877705
7.4,-14.9338582134722
7.42,-16.5612315771021
7.44,-18.0112170197694
7.46,-18.7330930032132
7.48,-18.2994029401267
7.5,-17.0081233949912
7.52,-15.4425473081641
7.54,-13.9299826613492
7.56,-12.573712686778
7.58,-11.385483469586
7.6,-10.3494976949744
7.62,-9.44463585932424
7.64,-8.6511156766048
7.66,-7.9520411963992
7.68,-7.33339180918754
7.7,-6.78360793113094
7.72,-6.29313591026361
7.74,-5.85403298737195
7.76,-5.45964882945807
7.78,-5.10437534877367
7.8,-4.78345140634009
7.82,-4.49280994788397
7.84,-4.22895751082552
7.86,-3.98887839501375
7.88,-3.76995771684228
7.9,-3.56991903883825
7.92,-3.38677335969931
7.94,-3.21877705007706
7.96,-3.06439690580607
7.98,-2.92228091964794
8,-2.79123368998463
