"gg [mm]","Freq [GHz]","dB(S(1,1)) []"
0.3,5.55,-8.35317500828463
0.3,5.56,-7.40935809247403
0.3,5.57,-6.62399364964711
0.3,5.58,-5.97049417643541
0.3,5.59,-5.42634828135021
0.3,5.6,-4.97305701862298
0.3,5.61,-4.59558864502362
0.3,5.62,-4.28178297018966
0.3,5.63,-4.02182391466857
0.3,5.64,-3.80780237476514
0.3,5.65,-3.6333633493041
0.3,5.66,-3.49342471435765
0.3,5.67,-3.38395505289011
0.3,5.68,-3.30179972518194
0.3,5.69,-3.24454641091493
0.3,5.7,-3.2104232350076
0.3,5.71,-3.19822421740931
0.3,5.72,-3.20725819195603
0.3,5.73,-3.23731856118055
0.3,5.74,-3.28867236001773
0.3,5.75,-3.36206815031714
0.3,5.76,-3.45876333126141
0.3,5.77,-3.5805726112802
0.3,5.78,-3.72994075566775
0.3,5.79,-3.91004445813342
0.3,5.8,-4.1249305315848
0.3,5.81,-4.37970097843617
0.3,5.82,-4.68076059101613
0.3,5.83,-5.03615081776099
0.3,5.84,-5.45600709332127
0.3,5.85,-5.95320026112224
0.3,5.86,-6.54426531339013
0.3,5.87,-7.25080155931292
0.3,5.88,-8.10168920616903
0.3,5.89,-9.13680423653522
0.3,5.9,-10.41366174546
0.3,5.91,-12.0201889760536
0.3,5.92,-14.1012208800171
0.3,5.93,-16.9159924596079
0.3,5.94,-20.9235321296152
0.3,5.95,-25.6845155972206
0.3,5.96,-23.6419989084978
0.3,5.97,-18.9991135830609
0.3,5.98,-15.7365614521956
0.3,5.99,-13.4266965916552
0.3,6,-11.715320598564
0.3,6.01,-10.4122595397984
0.3,6.02,-9.4106166590449
0.3,6.03,-8.64816238466626
0.3,6.04,-8.0907322969959
0.3,6.05,-7.72634073630159
0.3,6.06,-7.56590047366636
0.3,6.07,-7.64797440804674
0.3,6.08,-8.03284066548656
0.3,6.09,-8.69107595755341
0.3,6.1,-9.00190903429443
